frequency_ghz,signal_power_dbm,gain_db,compression_db,observed_pump_depletion_db_port2,required_depletion_db,observed_minus_required_db,converted_fraction_relative_port2_pump,pump_port_reference_power_w,status
6.943,-81.35393324661295,7.480605024337162,6.155874928695425,-2.581065214638974,5.860476516919871,-8.441541731558845,0.4480579547617335,1.184805698559986e-10,VALID_SOLVED
6.943,-76.02059991327963,1.2457639899032278,12.39071596312936,0.22049646741992568,10.313778535310895,-10.09328206789097,-0.05208213661076222,1.184805698559986e-10,VALID_SOLVED
7.29,-156.02059991327963,15.51952823465637,0.0,-5.517044208147581e-07,6.53220749798834e-07,-1.204925170613592e-06,1.2703462948238098e-07,1.184805698559986e-10,VALID_SOLVED
7.29,-150.68726657994628,15.519526792089849,1.4425665213479988e-06,-1.8838573865309627e-06,2.230453772252144e-06,-4.114311158783106e-06,4.3377409952860546e-07,1.184805698559986e-10,VALID_SOLVED
7.29,-145.35393324661297,15.519521866323792,6.368332577721958e-06,-6.432555254676231e-06,7.615988693395257e-06,-1.4048543948071488e-05,1.4811494870592412e-06,1.184805698559986e-10,VALID_SOLVED
7.29,-140.02059991327963,15.51950504709976,2.318755661079308e-05,-2.1964265366491986e-05,2.600511055954247e-05,-4.796937592603446e-05,5.057446212264338e-06,1.184805698559986e-10,VALID_SOLVED
7.29,-134.6872665799463,15.519447617465392,8.061719097796072e-05,-7.499756931217405e-05,8.879507907533376e-05,-0.0001637926483875078,1.726867940554655e-05,1.184805698559986e-10,VALID_SOLVED
7.29,-129.35393324661294,15.519251526395628,0.00027670826074199795,-0.00025607678913353027,0.0003031876535742217,-0.000559264442707752,5.896212139788748e-05,1.184805698559986e-10,VALID_SOLVED
7.29,-124.02059991327963,15.51858202414657,0.0009462105098005935,-0.0008743154607184778,0.0010351618203695186,-0.0019094772810879963,0.0002012983114180189,1.184805698559986e-10,VALID_SOLVED
7.29,-118.68726657994628,15.516297584812307,0.0032306498440632936,-0.0029844661428715114,0.0035335939803791336,-0.006518060123250645,0.0006869626581462729,1.184805698559986e-10,VALID_SOLVED
7.29,-113.35393324661297,15.508511431030662,0.011016803625707894,-0.010180115893010822,0.012053796141069457,-0.02223391203408028,0.0023413131506961893,1.184805698559986e-10,VALID_SOLVED
7.29,-108.02059991327963,15.48207415071986,0.03745408393650962,-0.03463768227545394,0.04102110313347461,-0.07565878540892855,0.007943900207731835,1.184805698559986e-10,VALID_SOLVED
7.29,-102.68726657994631,15.392925287500427,0.1266029471559431,-0.1168081304952775,0.13850005059548642,-0.2553081810907639,0.026537587892788594,1.184805698559986e-10,VALID_SOLVED
7.29,-97.35393324661295,15.090345905442,0.4291823292143704,-0.38009058159297204,0.45576318521314163,-0.8358537668061137,0.08379861945674838,1.184805698559986e-10,VALID_SOLVED
7.29,-92.02059991327963,14.123218158756334,1.3963100759000362,-1.0839484624485216,1.3918994800434683,-2.47584794249199,0.22087856313901477,1.184805698559986e-10,VALID_SOLVED
7.29,-86.68726657994628,11.941497640245373,3.578030594410997,-2.4093167484507525,3.5984636378787087,-6.007780386329461,0.4257932081116066,1.184805698559986e-10,VALID_SOLVED
7.29,-81.35393324661295,8.836107059776094,6.6834211748802765,-4.150553633857514,7.327928029521786,-11.4784816633793,0.6154572421697154,1.184805698559986e-10,VALID_SOLVED
7.29,-76.02059991327963,3.228210503652792,12.291317731003577,-1.0476057587231118,12.052304844687802,-13.099910603410914,0.21433135001191972,1.184805698559986e-10,VALID_SOLVED
7.629,-156.02059991327963,16.23655164403793,0.0,-5.081303680043447e-07,7.704816631343315e-07,-1.2786120311386763e-06,1.1700133417669178e-07,1.184805698559986e-10,VALID_SOLVED
7.629,-150.68726657994628,16.23654979494538,1.8490925519643042e-06,-1.7350716792208232e-06,2.630846730822366e-06,-4.365918410043189e-06,3.995149385760399e-07,1.184805698559986e-10,VALID_SOLVED
7.629,-145.35393324661297,16.236543481242556,8.162795374744292e-06,-5.92451950254258e-06,8.983148172716154e-06,-1.4907667675258734e-05,1.3641700984390326e-06,1.184805698559986e-10,VALID_SOLVED
7.629,-140.02059991327963,16.236521924761224,2.9719276707140807e-05,-2.022955583314001e-05,3.067332187873431e-05,-5.090287771187432e-05,4.658016521386088e-06,1.184805698559986e-10,VALID_SOLVED
7.629,-134.6872665799463,16.23644834175599,0.00010330228193922153,-6.907435895975311e-05,0.00010473466363886713,-0.00017380902259862024,1.5904832441737682e-05,1.184805698559986e-10,VALID_SOLVED
7.629,-129.35393324661294,16.236197352776387,0.0003542912615444038,-0.0002358521783296652,0.0003576112162245622,-0.0005934633945542274,5.43054964003975e-05,1.184805698559986e-10,VALID_SOLVED
7.629,-124.02059991327963,16.235343912621154,0.0012077314167768805,-0.000805245705242541,0.001220959606620324,-0.002026205311862865,0.0001853974874702624,1.184805698559986e-10,VALID_SOLVED
7.629,-118.68726657994628,16.23246845122339,0.004083192814540837,-0.0027486654307775638,0.00416761201842282,-0.006916277449200384,0.0006327033634139223,1.184805698559986e-10,VALID_SOLVED
7.629,-113.35393324661297,16.223074304463264,0.013477339574667013,-0.009375953307378282,0.014214059058343439,-0.02359001236572172,0.0021565642983866207,1.184805698559986e-10,VALID_SOLVED
7.629,-108.02059991327963,16.194956753699262,0.04159489033866848,-0.03192994020911222,0.048344035664887486,-0.0802739758739997,0.007325179563915429,1.184805698559986e-10,VALID_SOLVED
7.629,-102.68726657994631,16.119112011783834,0.11743963225409715,-0.10848586376107505,0.1629015225421099,-0.27138738630318493,0.02467037994818322,1.184805698559986e-10,VALID_SOLVED
7.629,-97.35393324661295,15.80512937512426,0.4314222689136713,-0.35987070152999046,0.5327451349293411,-0.8926158364593315,0.0795230241470869,1.184805698559986e-10,VALID_SOLVED
7.629,-92.02059991327963,14.699379723211901,1.5371719208260295,-1.0093834733681124,1.600582663767613,-2.6099661371357255,0.20738615764593293,1.184805698559986e-10,VALID_SOLVED
7.629,-86.68726657994628,12.546296746518145,3.690254897519786,-2.234779782256398,4.016827539618116,-6.251607321874514,0.40224664579483116,1.184805698559986e-10,VALID_SOLVED
7.629,-81.35393324661295,9.049589848352444,7.186961795685487,-2.7728080656197207,7.92090912537787,-10.69371719099759,0.47189632044711116,1.184805698559986e-10,VALID_SOLVED
7.629,-76.02059991327963,2.2060129400965978,14.030538703941334,0.4620946004029296,12.727927024499168,-12.265832424096239,-0.11226804433390858,1.184805698559986e-10,VALID_SOLVED
