ratio,flux_over_flux0,equilibrium_flux_rad,g1_over_Ic,g2_over_Ic,g3_over_Ic,g3_over_g1,status
0.03,0.25,1.4811444270830985,0.33587045807007976,,-0.00661774264126586,-0.01970325904603691,STABLE
0.03,0.26,1.5436478540686307,0.33399776428464883,,-0.006305788840527771,-0.018879733683347884,STABLE
0.03,0.27,1.6065039236508358,0.3321124905493054,,-0.005991564598548233,-0.01804076862221695,STABLE
0.03,0.28,1.6697185711966323,0.33022193365672636,,-0.005676283271136842,-0.017189298143464555,STABLE
0.03,0.29000000000000004,1.7332964307421455,0.32833365120464936,,-0.005361204458039513,-0.016328525688333696,STABLE
0.03,0.30000000000000004,1.797240719770268,0.32645544043498415,,-0.00504763060950983,-0.015461928288847434,STABLE
0.03,0.31,1.8615531229361417,0.3245953123230544,,-0.0047369027982131036,-0.014593256952209735,STABLE
0.03,0.32,1.9262336766284227,0.3227614605500575,,-0.0044303955886343185,-0.013726532223159284,STABLE
0.03,0.33,1.991280656571637,0.32096222505301847,,-0.004129510946702052,-0.012866034144734367,STABLE
0.03,0.34,2.056690471007242,0.31920604993080304,,-0.0038356711470290765,-0.012016285868831644,STABLE
0.03,0.35,2.122457562294852,0.31750143559478206,,-0.0035503106544995527,-0.011182030241370978,STABLE
0.03,0.36,2.1885743200308583,0.31585688518937355,,-0.003274866981075684,-0.01036819880976228,STABLE
0.03,0.37,2.2550310089926002,0.31428084546986473,,-0.0030107705474751406,-0.009579872877629231,STABLE
0.03,0.38,2.3218157153142793,0.3127816425114537,,-0.0027594336125969505,-0.008822236466438095,STABLE
0.03,0.39,2.3889143143044245,0.3113674128290383,,-0.0025222383703013846,-0.008100521333895218,STABLE
0.03,0.4,2.456310463194142,0.3100460307056649,,-0.0023005243522701197,-0.007419944538667776,STABLE
0.03,0.41000000000000003,2.523985621790953,0.3088250327508305,,-0.0020955753157792787,-0.006785639418906994,STABLE
0.03,0.42000000000000004,2.591919103591273,0.3077115409250632,,-0.001908605833975838,-0.0062025812494326945,STABLE
