Frequency_GHz,Insertion_Loss_dB
17.940000,-66.4890
17.960000,-66.4995
17.980000,-66.5101
18.000000,-66.5207
18.020000,-66.5313
18.040000,-66.5419
18.060000,-66.5524
18.080000,-66.5630
18.100000,-66.5736
18.120000,-66.5841
18.140000,-66.5947
18.160000,-66.6052
18.180000,-66.6157
18.200000,-66.6263
18.220000,-66.6368
18.240000,-66.6473
18.260000,-66.6579
18.280000,-66.6684
18.300000,-66.6789
18.320000,-66.6894
18.340000,-66.6999
18.360000,-66.7104
18.380000,-66.7209
18.400000,-66.7314
18.420000,-66.7419
18.440000,-66.7524
18.460000,-66.7629
18.480000,-66.7734
18.500000,-66.7838
18.520000,-66.7943
18.540000,-66.8048
18.560000,-66.8152
18.580000,-66.8257
18.600000,-66.8361
18.620000,-66.8466
18.640000,-66.8570
18.660000,-66.8675
18.680000,-66.8779
18.700000,-66.8884
18.720000,-66.8988
18.740000,-66.9092
18.760000,-66.9196
18.780000,-66.9300
18.800000,-66.9405
18.820000,-66.9509
18.840000,-66.9613
18.860000,-66.9717
18.880000,-66.9821
18.900000,-66.9925
18.920000,-67.0029
18.940000,-67.0132
18.960000,-67.0236
18.980000,-67.0340
19.000000,-67.0444
19.020000,-67.0547
19.040000,-67.0651
19.060000,-67.0755
19.080000,-67.0858
19.100000,-67.0962
19.120000,-67.1065
19.140000,-67.1169
19.160000,-67.1272
19.180000,-67.1375
19.200000,-67.1479
19.220000,-67.1582
19.240000,-67.1685
19.260000,-67.1789
19.280000,-67.1892
19.300000,-67.1995
19.320000,-67.2098
19.340000,-67.2201
19.360000,-67.2304
19.380000,-67.2407
19.400000,-67.2510
19.420000,-67.2613
19.440000,-67.2716
19.460000,-67.2819
19.480000,-67.2921
19.500000,-67.3024
19.520000,-67.3127
19.540000,-67.3229
19.560000,-67.3332
19.580000,-67.3435
19.600000,-67.3537
19.620000,-67.3640
19.640000,-67.3742
19.660000,-67.3845
19.680000,-67.3947
19.700000,-67.4049
19.720000,-67.4152
19.740000,-67.4254
19.760000,-67.4356
19.780000,-67.4459
19.800000,-67.4561
19.820000,-67.4663
19.840000,-67.4765
19.860000,-67.4867
19.880000,-67.4969
19.900000,-67.5071
19.920000,-67.5173
19.940000,-67.5275
19.960000,-67.5377
19.980000,-67.5479
20.000000,-67.5580
